FP1_x,FP2_x,FP1_y,FP2_y,FP1_z,FP2_z
-32.955833,21.847189,-21.152124,3.576073,347.948456,156.208252
-32.975281,21.37038,-21.323397,3.51982,349.587128,153.29007
-32.992966,20.89139,-21.49073,3.465439,351.225952,150.395203
-33.009068,20.410498,-21.654104,3.412937,352.865479,147.524353
-33.023735,19.927979,-21.813494,3.362322,354.506134,144.678192
-33.037079,19.444098,-21.968861,3.31359,356.148224,141.857437
-33.049152,18.959082,-22.12018,3.266716,357.792206,139.062729
-33.060013,18.473146,-22.267406,3.221681,359.438477,136.294708
-33.06974,17.9865,-22.4105,3.178481,361.087311,133.553879
-33.078442,17.499374,-22.549416,3.137116,362.739105,130.840775
-33.086239,17.012011,-22.68412,3.097579,364.394104,128.155884
-33.0933,16.524672,-22.814596,3.059857,366.052673,125.499695
-33.099751,16.037651,-22.940817,3.023943,367.715088,122.872711
-33.10569,15.551234,-23.062778,2.989834,369.381561,120.275436
-33.111156,15.065697,-23.180473,2.957521,371.052399,117.708298
-33.116135,14.581287,-23.293879,2.926967,372.727783,115.171776
-33.120602,14.098218,-23.402967,2.898125,374.407806,112.66626
-33.124546,13.616686,-23.507689,2.870944,376.092712,110.192032
-33.127987,13.136894,-23.607992,2.845386,377.782471,107.749382
-33.131004,12.659061,-23.703821,2.821409,379.477264,105.338554
-33.133675,12.183425,-23.795135,2.798977,381.177246,102.959801
-33.136074,11.710249,-23.881905,2.778067,382.882263,100.613358
-33.138241,11.239803,-23.964123,2.758669,384.592438,98.299461
-33.14016,10.772347,-24.041796,2.740772,386.30777,96.018341
-33.141773,10.30812,-24.114956,2.724344,388.028168,93.770149
-33.14299,9.847321,-24.183638,2.709335,389.75351,91.555008
-33.143745,9.390141,-24.247856,2.695685,391.483734,89.373024
-33.143986,8.936761,-24.307619,2.683329,393.218628,87.224182
-33.143723,8.487381,-24.362919,2.672194,394.958038,85.108505
-33.142963,8.042218,-24.413746,2.662202,396.701721,83.025955
-33.141762,7.601516,-24.460083,2.653292,398.449585,80.976593
-33.140106,7.165541,-24.50193,2.645425,400.201385,78.960449
-33.137951,6.734562,-24.539299,2.638567,401.956787,76.977531
-33.135212,6.308825,-24.572224,2.632675,403.715607,75.027855
-33.131752,5.888538,-24.600765,2.627679,405.477478,73.111374
-33.127457,5.473877,-24.624994,2.623503,407.242004,71.227943
-33.122227,5.065002,-24.644991,2.62006,409.008881,69.377426
-33.116016,4.662077,-24.660833,2.617254,410.77771,67.559647
-33.108822,4.265276,-24.672592,2.614972,412.548187,65.774391
-33.100655,3.874798,-24.680319,2.613109,414.319916,64.021515
-33.091499,3.490862,-24.684057,2.611572,416.092468,62.300873
-33.08131,3.113707,-24.683844,2.610284,417.865387,60.612309
-33.069981,2.743556,-24.679724,2.609167,419.638336,58.955643
-33.057373,2.380602,-24.671755,2.608137,421.410706,57.330643
-33.043339,2.025,-24.65999,2.607111,423.182098,55.737007
-33.027763,1.676881,-24.64451,2.606018,424.952026,54.174416
-33.010593,1.336365,-24.625402,2.604791,426.720032,52.642502
-32.99181,1.003584,-24.602772,2.603364,428.485718,51.140942
-32.971436,0.678691,-24.576738,2.601666,430.248596,49.669407
-32.949467,0.361871,-24.547422,2.599635,432.008118,48.2276
-32.925877,0.053326,-24.514921,2.597222,433.763916,46.815224
-32.900566,-0.246738,-24.479342,2.59438,435.515228,45.431953
-32.873409,-0.538143,-24.440765,2.591052,437.261627,44.0774
-32.844261,-0.820746,-24.399275,2.587178,439.002594,42.751137
-32.813026,-1.09444,-24.35495,2.582706,440.737518,41.452736
-32.779652,-1.35914,-24.307873,2.577594,442.465881,40.181736
-32.744156,-1.614773,-24.258139,2.571802,444.187195,38.937729
-32.706581,-1.86126,-24.205866,2.5653,445.900879,37.720284
-32.666973,-2.098494,-24.151194,2.558062,447.606476,36.52903
-32.625347,-2.326343,-24.094273,2.550072,449.303253,35.363571
-32.581654,-2.544668,-24.035252,2.541305,450.990723,34.223492
-32.535805,-2.753351,-23.974283,2.531714,452.668304,33.108376
-32.487709,-2.952315,-23.911501,2.521245,454.335358,32.017738
-32.437305,-3.141526,-23.847021,2.509845,455.991425,30.951118
-32.384567,-3.320978,-23.780951,2.497465,457.635986,29.908028
-32.32954,-3.490695,-23.713377,2.484061,459.268463,28.888023
-32.272289,-3.6507,-23.644403,2.469589,460.888458,27.890686
-32.212887,-3.801001,-23.574133,2.454024,462.495331,26.915598
-32.151352,-3.941581,-23.502697,2.437368,464.08847,25.962376
-32.087669,-4.072404,-23.430237,2.41964,465.667389,25.030626
-32.021774,-4.193442,-23.356913,2.400853,467.231445,24.119938
-31.953598,-4.304706,-23.282883,2.381003,468.78009,23.229893
-31.883102,-4.40625,-23.208303,2.360082,470.312927,22.360067
-31.810286,-4.498185,-23.133308,2.338083,471.829407,21.510052
-31.735199,-4.580657,-23.058014,2.314997,473.329071,20.679451
-31.657927,-4.653824,-22.982523,2.29082,474.811371,19.867947
-31.578545,-4.717835,-22.906937,2.265549,476.275879,19.075201
-31.497101,-4.772805,-22.831352,2.2392,477.722015,18.300892
-31.413614,-4.818816,-22.755875,2.211804,479.149261,17.544718
-31.32806,-4.855939,-22.680607,2.183396,480.557129,16.806383
-31.240408,-4.88427,-22.605679,2.154005,481.94516,16.085588
-31.150629,-4.903953,-22.53121,2.123663,483.312775,15.382005
-31.058743,-4.915194,-22.457327,2.092412,484.659729,14.695365
-30.964813,-4.918258,-22.384142,2.060287,485.985504,14.025399
-30.868927,-4.913435,-22.311766,2.027318,487.289673,13.37187
-30.771189,-4.901004,-22.240299,1.993525,488.571869,12.73457
-30.671673,-4.881212,-22.169849,1.95893,489.831573,12.113313
-30.570429,-4.854261,-22.100513,1.923564,491.068359,11.507926
-30.46747,-4.820337,-22.032398,1.88746,492.281799,10.918229
-30.362797,-4.779647,-21.965611,1.850638,493.471466,10.34404
-30.256413,-4.73245,-21.900257,1.813123,494.637054,9.785242
-30.14834,-4.679069,-21.836432,1.774952,495.778168,9.241654
-30.038649,-4.619888,-21.774227,1.736184,496.894531,8.713158
-29.927423,-4.555332,-21.713722,1.696885,497.98584,8.199632
-29.814764,-4.485827,-21.655001,1.657116,499.051758,7.701017
-29.700754,-4.411767,-21.598156,1.616943,500.091949,7.217311
-29.585461,-4.333485,-21.543272,1.57644,501.106018,6.748456
-29.468895,-4.251284,-21.49044,1.535688,502.093689,6.294389
