Time(ms),Acceleration(x),Acceleration(y),Acceleration(z),Magnetometer(x),Magnetometer(y),Magnetometer(z),Gyroscope(x),Gyroscope(y),Gyroscope(z),Class
25268,9.79,5.7,-11.44,-12.5,-25.75,-92.08,-2.06,-0.95,-0.42,1
25516,-0.95,8.96,-3.57,-9.75,-21.28,-75.17,-1.91,0.41,-0.83,1
25772,2.56,19.6,4.08,-1.93,-26.92,-77.78,3.61,0.04,-1.2,1
26017,1.65,2.27,-8.82,-12.44,-23.21,-108.29,0.72,3.42,-0.1,1
26263,-4.94,19.6,4.83,-10.93,-21.34,-114.73,5.0,1.83,-0.24,1
26511,1.01,8.54,-3.3,-5.96,-26.64,-101.62,-3.03,0.23,-0.81,1
26757,-3.32,19.6,1.69,3.48,-30.4,-88.29,3.39,0.55,-0.46,1
27004,-0.68,5.21,-9.93,0.01,-22.67,-120.53,1.69,3.07,0.5,1
27250,-5.88,-4.47,-6.86,7.34,-20.51,-123.49,-3.03,-0.19,1.19,1
27504,1.89,9.82,-3.24,15.0,-27.49,-111.93,-2.32,0.13,-0.52,1
27752,-4.35,14.07,0.57,24.23,-30.25,-92.49,0.67,0.61,-0.59,1
27998,-1.04,6.66,-7.87,20.32,-24.48,-118.71,2.4,1.74,0.81,1
28246,-2.57,8.99,1.45,24.35,-20.04,-120.39,-0.76,-1.5,0.42,1
28491,-1.4,8.04,-3.56,28.79,-24.8,-106.69,-3.1,-0.64,-0.26,1
28741,0.84,12.68,-0.12,35.03,-23.28,-87.37,0.1,-0.06,-0.54,1
28991,1.61,6.49,-6.7,29.32,-24.22,-109.41,2.06,1.13,0.69,1
29265,-9.76,-2.8,2.55,26.57,-21.05,-115.9,-0.9,-0.76,1.29,1
29511,0.52,7.67,-1.47,30.24,-25.17,-99.23,-2.67,-0.94,-0.38,1
29759,-0.04,12.49,-1.92,34.11,-22.68,-82.24,-0.05,-0.58,-0.35,1
30005,1.09,7.71,-7.19,29.49,-24.98,-109.43,2.24,0.46,0.84,1
30253,1.99,12.57,11.84,29.99,-23.27,-110.0,-0.96,-2.94,-0.61,1
30498,0.87,8.77,-1.67,31.22,-24.23,-98.17,-2.26,0.28,-0.69,1
30746,1.25,11.0,-2.3,34.67,-20.39,-80.43,-1.21,-0.32,-0.17,1
30992,2.85,8.72,-3.64,32.56,-25.34,-103.79,2.8,-0.27,1.13,1
31246,4.63,16.71,10.19,32.94,-22.96,-109.68,3.04,1.83,1.02,1
31492,-2.51,10.23,-2.72,29.47,-24.67,-104.47,-1.53,0.41,-0.48,1
31739,-1.28,10.79,-1.88,33.81,-21.22,-81.66,-1.78,-0.33,-0.29,1
31985,3.05,12.21,-4.44,34.17,-24.98,-99.77,3.45,0.74,1.48,1
32233,-4.4,9.91,-1.69,30.39,-23.57,-105.82,-0.5,0.82,0.75,1
32479,-7.61,8.17,-2.47,28.24,-25.61,-106.69,-1.21,-0.15,-0.03,1
32727,-0.65,10.38,-1.31,33.57,-23.37,-87.26,-1.49,-0.56,-0.15,1
32980,1.7,13.97,-7.66,35.63,-25.26,-99.94,3.07,1.59,1.29,1
33228,0.5,7.81,-2.9,31.31,-23.19,-109.21,-1.35,-0.01,0.88,1
33474,-1.0,10.41,-6.16,31.63,-23.5,-110.49,-2.06,-0.36,0.01,1
